elapsed_s,total_sent_bytes,total_recv_bytes,delta_sent_bps,delta_recv_bps,delta_total_bps,delta_sent_gbps,delta_recv_gbps,delta_total_gbps,uploaded_bytes,uploaded_gbps_from_callback
38.054444,113877838402,1452647924391,21839833.239,98076744.524,119916577.763,0.021839833,0.098076745,0.119916578,141478306,0.000000000
38.304775,113877909197,1452650997176,2262447.379,98199228.342,100461675.722,0.002262447,0.098199228,0.100461676,141478306,0.000000000
38.555120,113879096729,1452654077995,37948664.861,98450372.477,136399037.338,0.037948665,0.098450372,0.136399037,144624034,0.100524599
38.805446,113881969347,1452657147923,91804133.548,98109835.730,189913969.278,0.091804134,0.098109836,0.189913969,145672610,0.033510760
39.055809,113884028242,1452660218961,65789081.099,98130680.798,163919761.897,0.065789081,0.098130681,0.163919762,147110936,0.045959675
39.306143,113884096934,1452663288349,2195205.445,98089111.557,100284317.002,0.002195205,0.098089112,0.100284317,147110936,0.000000000
39.556491,113884166920,1452666364748,2236445.336,98308207.281,100544652.617,0.002236445,0.098308207,0.100544653,147110936,0.000000000
39.806815,113886555610,1452669440371,76338988.333,98292347.819,174631336.152,0.076338988,0.098292348,0.174631336,150256664,0.100532800
40.057162,113889579262,1452672509851,96622607.271,98087068.408,194709675.679,0.096622607,0.098087068,0.194709676,152292382,0.065052586
40.307486,113889807381,1452675569980,7290360.422,97797392.362,105087752.784,0.007290360,0.097797392,0.105087753,152292382,0.000000000
40.557820,113889877779,1452678647273,2249733.164,98342113.660,100591846.824,0.002249733,0.098342114,0.100591847,152292382,0.000000000
40.808179,113890271896,1452681727338,12593653.822,98420703.392,111014357.214,0.012593654,0.098420703,0.111014357,152598077,0.009768208
41.058516,113890343143,1452684805250,2276839.229,98360784.086,100637623.315,0.002276839,0.098360784,0.100637623,152598077,0.000000000
41.308821,113890739582,1452687887011,12670563.608,98495982.423,111166546.031,0.012670564,0.098495982,0.111166546,152908928,0.009935091
41.559154,113890810836,1452690964370,2277096.374,98344556.384,100621652.758,0.002277096,0.098344556,0.100621653,152908928,0.000000000
41.809511,113890881049,1452694043746,2243609.675,98399410.188,100643019.863,0.002243610,0.098399410,0.100643020,152908928,0.000000000
42.059843,113890952439,1452697125653,2281454.117,98490396.580,100771850.696,0.002281454,0.098490397,0.100771851,152910480,0.000049598
42.310178,113891388521,1452700204699,13935967.308,98397742.617,112333709.925,0.013935967,0.098397743,0.112333710,153259811,0.011163647
42.560528,113891459439,1452703282988,2266200.998,98367432.872,100633633.870,0.002266201,0.098367433,0.100633634,153259811,0.000000000
42.810851,113891542671,1452706363012,2659986.659,98433568.195,101093554.854,0.002659987,0.098433568,0.101093555,153259811,0.000000000
43.061179,113891615164,1452709441046,2316732.990,98367882.577,100684615.567,0.002316733,0.098367883,0.100684616,153274258,0.000461698
43.311513,113891760520,1452712522391,4645186.273,98471487.213,103116673.486,0.004645186,0.098471487,0.103116673,153274258,0.000000000
43.561847,113891833642,1452715599511,2336782.675,98336488.411,100673271.086,0.002336783,0.098336488,0.100673271,153345497,0.002276607
43.812190,113891904271,1452718680996,2257035.284,98472587.351,100729622.635,0.002257035,0.098472587,0.100729623,153345497,0.000000000
44.062524,113893994073,1452721758811,66784389.563,98358598.549,165142988.112,0.066784390,0.098358599,0.165142988,156491225,0.100528913
44.312841,113897020835,1452724825195,96733768.926,98000067.827,194733836.753,0.096733769,0.098000068,0.194733837,158588377,0.067023908
44.563179,113900068521,1452727885604,97394103.360,97800688.939,195194792.299,0.097394103,0.097800689,0.195194792,161734105,0.100527206
44.813500,113902737501,1452730951412,85297834.512,97980046.096,183277880.609,0.085297835,0.097980046,0.183277881,163831257,0.067022804
45.063827,113904931023,1452734019663,70101215.464,98056059.820,168157275.284,0.070101215,0.098056060,0.168157275,165928409,0.067021395
45.314153,113905842910,1452737086097,29142325.872,97997908.613,127140234.485,0.029142326,0.097997909,0.127140234,166244060,0.010087658
45.564516,113905914288,1452740158521,2280788.610,98175203.351,100455991.961,0.002280789,0.098175203,0.100455992,166244060,0.000000000
45.814850,113905982714,1452743237131,2186709.873,98384048.212,100570758.085,0.002186710,0.098384048,0.100570758,166244060,0.000000000
46.065166,113906052837,1452746320514,2241103.765,98543719.606,100784823.371,0.002241104,0.098543720,0.100784823,166244060,0.000000000
46.315509,113906224133,1452749398883,5473961.702,98372840.066,103846801.768,0.005473962,0.098372840,0.103846802,166244060,0.000000000
46.565835,113906295843,1452752475792,2291730.996,98332836.816,100624567.812,0.002291731,0.098332837,0.100624568,166315299,0.002276679
46.816171,113906366256,1452755555306,2250185.801,98411922.174,100662107.975,0.002250186,0.098411922,0.100662108,166315299,0.000000000
